uplink_sent_bytes,uplink_received_bytes,uplink_sent_packets,uplink_received_packets,uplink_sent_packets_dropped,uplink_received_packets_dropped
6991561,347270467,6991,347270,16,1984
4506096,307079431,4506,307079,4,2600
16943095,323511415,16943,323511,4,1843
8689630,196987150,8689,196987,49,353
14825539,256775396,14825,256775,123,2183
14819403,392290765,14819,392290,97,238
6003816,392093446,6003,392093,26,212
11366013,279973212,11366,279973,75,525
9889476,402470121,9889,402470,64,3372
16937611,231892106,16937,231892,45,1481
11059397,275307739,11059,275307,29,146
18472879,419633196,18472,419633,129,1603
8188459,191171522,8188,191171,36,1803
13858238,404057136,13858,404057,117,1773
10108769,177016484,10108,177016,74,976
6740260,306993097,6740,306993,4,474
13247626,321505579,13247,321505,89,1692
8591983,152052682,8591,152052,69,373
12261178,188994026,12261,188994,104,1013
9079315,337724394,9079,337724,34,742
14950731,158681314,14950,158681,37,10
14770741,166856855,14770,166856,17,21
16877342,139063627,16877,139063,124,533
14090828,150008506,14090,150008,59,1121
11221416,382459062,11221,382459,68,3671
9005060,180853330,9005,180853,47,211
4757045,218416463,4757,218416,6,650
10600769,334029599,10600,334029,70,2401
7705522,230616619,7705,230616,16,577
10947101,334339681,10947,334339,44,3082
